CSID,Class
6737269,SSI1  160 A
6737325,CHEM  110 B
6737325,CHEM  110 BA
6737325,MUS  288 A
6737325,PG  104 A
6737325,SOAN  101 D
6737325,SSI1  115 A
6737346,BIOL  111 A
6737346,BIOL  111 AA
6737346,BUS  101 A
6737346,CHEM  110 B
6737346,CHEM  110 BA
6737346,ECON  170 B
6737346,SSI1  171 A
6737352,ECON  170 A
6737352,HIST  153 A
6737352,IPE  201 A
6737352,PE  104 A
6737352,SSI1  108 A
6737520,ECON  170 D
6737520,GERM  101 C
6737520,GERM  101 C
6737520,MATH  181 B
6737520,MATH  181 B
6737520,SSI1  134 A
6737522,ECON  170 C
6737522,MATH  181 B
6737522,MATH  181 B
6737522,MUS  126 A
6737522,SSI1  124 A
6737558,CHEM  115 A
6737558,CHEM  115 AA
6737558,MUS  270 A
6737558,PHYS  121 A
6737558,PHYS  121 EE
6737558,SPAN  201 A
6737558,SSI1  138 C
6737576,CHEM  110 D
6737576,CHEM  110 DA
6737576,ECON  170 G
6737576,IPE  201 B
6737576,SSI1  104 B
6737684,GERM  201 A
6737684,MATH  160 A
6737684,MATH  160 A
6737684,SOAN  101 D
6737684,SSI1  138 B
6737693,BIOL  111 C
6737693,BIOL  111 CA
6737693,CHEM  110 F
6737693,CHEM  110 F
6737693,CHEM  110 FB
6737693,SSI1  118 A
6737725,FREN  201 B
6737725,GQS  201 A
6737725,MATH  160 C
6737725,MATH  160 C
6737725,SSI1  187 A
6737729,CHEM  115 A
6737729,CHEM  115 AA
6737729,GERM  201 A
6737729,MUS  276 A
6737729,SSI1  172 A
6737730,MUS  101 A
6737730,MUS  103 A
6737730,MUS  109 A
6737730,MUS  272 A
6737730,PHYS  205 A
6737730,PHYS  205 AA
6737730,SSI1  160 A
6737777,BIOL  112 A
6737777,BIOL  112 AB
6737777,CHEM  110 G
6737777,CHEM  110 G
6737777,CHEM  110 GB
6737777,MATH  180 D
6737777,MATH  180 D
6737777,MUS  288 A
6737777,SSI1  175 B
6737782,ARTH  276 A
6737782,GQS  291 A
6737782,REL  211 A
6737782,SPAN  201 H
6737782,SSI1  112 A
6737812,LTS  200 B
6737812,SPAN  203 B
6737812,SPAN  203 B
6737812,SSI1  112 A
6737826,CHEM  110 A
6737826,CHEM  110 AA
6737826,CSCI  161 B
6737826,CSCI  161 BA
6737826,CWLT  100 A
6737826,LAT  101 B
6737826,LAT  101 B
6737826,SSI1  138 A
6737832,AFAM  210 A
6737832,HIST  230 A
6737832,SPAN  204 A
6737832,SSI1  112 A
6737904,BIOL  111 B
6737904,BIOL  111 BC
6737904,CHEM  110 G
6737904,CHEM  110 G
6737904,CHEM  110 GB
6737904,PE  103 B
6737904,SPAN  201 D
6737904,SPAN  201 D
6737904,SSI1  128 C
6737908,BIOL  112 A
6737908,BIOL  112 AB
6737908,CHEM  110 A
6737908,CHEM  110 AA
6737908,MATH  181 A
6737908,MATH  181 A
6737908,MATH  181 A
6737908,SSI1  128 C
6737912,CHEM  115 A
6737912,CHEM  115 AA
6737912,CHIN  101 A
6737912,CHIN  101 DD
6737912,PG  103 A
6737912,SSI1  134 B
6737914,BIOL  111 C
6737914,BIOL  111 CA
6737914,CHEM  110 A
6737914,CHEM  110 AB
6737914,LAT  101 A
6737914,SSI1  118 A
6738020,ENVR  101 A
6738020,ENVR  101 AA
6738020,IPE  201 B
6738020,MATH  160 B
6738020,MATH  160 B
6738020,MATH  160 B
6738020,SSI1  160 A
6738022,CHEM  110 D
6738022,CHEM  110 DA
6738022,ECON  170 F
6738022,MATH  180 C
6738022,MATH  180 C
6738022,PE  107 A
6738022,SSI1  179 A
6738025,BIOL  111 C
6738025,BIOL  111 CB
6738025,PHIL  228 A
6738025,SSI1  129 A
6738144,CHEM  110 F
6738144,CHEM  110 F
6738144,CHEM  110 FB
6738144,FREN  101 D
6738144,FREN  101 D
6738144,MATH  280 B
6738144,MATH  280 B
6738144,MUS  280 A
6738144,SSI1  172 A
6738436,MATH  181 A
6738436,MATH  181 A
6738436,MATH  181 A
6738436,PE  107 A
6738436,PHYS  121 B
6738436,PHYS  121 B
6738436,PHYS  121 DD
6738436,SPAN  201 B
6738436,SPAN  201 B
6738436,SSI1  108 A
6738524,BIOL  111 A
6738524,BIOL  111 AC
6738524,PG  104 A
6738524,REL  211 A
6738524,SSI1  134 B
6738597,CWLT  100 A
6738597,GEOL  101 B
6738597,GEOL  101 BA
6738597,HIST  153 A
6738597,SSI1  186 A
6738748,ECON  170 F
6738748,GEOL  101 A
6738748,GEOL  101 AA
6738748,GERM  201 B
6738748,SSI1  117 A
6738773,PHIL  224 A
6738773,PHIL  224 AB
6738773,SOAN  101 D
6738773,SPAN  101 H
6738773,SSI1  138 B
6738965,BIOL  111 C
6738965,BIOL  111 CA
6738965,COMM  170 A
6738965,PE  103 B
6738965,SSI1  128 B
6738973,CSCI  161 B
6738973,CSCI  161 BA
6738973,ECON  170 F
6738973,HIST  102 A
6738973,SSI1  175 A
6739098,CHEM  110 F
6739098,CHEM  110 F
6739098,CHEM  110 FB
6739098,MATH  160 D
6739098,MATH  160 D
6739098,OT  101 A
6739098,PE  107 A
6739098,SSI1  128 B
6739120,AFAM  101 A
6739120,MATH  160 G
6739120,PE  103 B
6739120,SPAN  101 B
6739120,SPAN  101 B
6739120,SSI1  177 A
6739125,CHEM  110 C
6739125,CHEM  110 CA
6739125,OT  101 A
6739125,SPAN  101 H
6739125,SSI1  186 A
6739366,GERM  101 A
6739366,PG  103 D
6739366,PHYS  111 B
6739366,PHYS  111 DD
6739366,SSI1  144 A
6739421,CHEM  110 B
6739421,CHEM  110 BA
6739421,MATH  180 F
6739421,MATH  180 F
6739421,SSI1  135 A
6739593,GERM  101 A
6739593,PG  104 A
6739593,REL  212 A
6739593,SSI1  124 A
6739642,BIOL  112 B
6739642,BIOL  112 BB
6739642,MUS  101 D
6739642,MUS  103 A
6739642,MUS  270 A
6739642,SSI1  141 B
6739742,BIOL  112 B
6739742,BIOL  112 BB
6739742,CHEM  115 A
6739742,CHEM  115 AB
6739742,CLSC  211 A
6739742,SSI1  141 A
6739782,MUS  126 A
6739782,PSYC  101 C
6739782,REL  201 A
6739782,SSI1  135 A
6740017,BIOL  112 A
6740017,BIOL  112 AB
6740017,CHEM  110 G
6740017,CHEM  110 G
6740017,CHEM  110 GB
6740017,FREN  201 B
6740017,SSI1  171 A
6740029,PHIL  101 A
6740029,PSYC  101 B
6740029,SPAN  101 G
6740029,SSI1  141 B
6740100,ARAB  101 A
6740100,ARAB  101 A
6740100,JAPN  301 A
6740100,MUS  270 A
6740100,SSI1  195 B
6740382,CHEM  115 A
6740382,CHEM  115 AA
6740382,COMM  170 A
6740382,FREN  201 A
6740382,SSI1  186 A
6740440,COMM  181 A
6740440,CSCI  161 B
6740440,CSCI  161 BA
6740440,JAPN  101 B
6740440,SSI1  108 A
6740456,LAT  101 A
6740456,MATH  180 E
6740456,MATH  180 E
6740456,PG  102 B
6740456,SSI1  128 A
6740490,GQS  201 A
6740490,MATH  280 A
6740490,MATH  280 A
6740490,MUS  276 A
6740490,PE  107 A
